# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.0827
# k_min, k_max      =     0.0000    3.0152
# E_min, E_max      =   -24.5202  175.4172
# Nbands, Nspin, Nk =     52     1   506
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -22.606200
      0.005972    -22.631100
      0.011943    -22.655400
      0.017915    -22.679000
      0.023887    -22.701900
      0.029858    -22.724200
      0.035830    -22.745800
      0.041802    -22.766800
      0.047773    -22.787000
      0.053745    -22.806700
      0.059717    -22.825600
      0.065688    -22.843800
      0.071660    -22.861400
      0.077632    -22.878300
      0.083603    -22.894600
      0.089575    -22.910200
      0.095547    -22.925100
      0.101518    -22.939300
      0.107490    -22.952800
      0.113462    -22.965700
      0.119433    -22.977900
      0.125405    -22.989400
      0.131377    -23.000300
      0.137348    -23.010400
      0.143320    -23.019900
      0.149292    -23.028800
      0.155263    -23.036900
      0.161235    -23.044400
      0.167207    -23.051200
      0.173178    -23.057300
      0.179150    -23.062700
      0.185122    -23.067500
      0.191093    -23.071600
      0.197065    -23.075000
      0.203037    -23.077700
      0.209008    -23.079800
      0.214980    -23.081100
      0.220952    -23.081800
      0.226923    -23.081800
      0.232895    -23.081200
      0.238867    -23.079900
      0.244839    -23.077800
      0.250810    -23.075200
      0.256782    -23.071800
      0.262754    -23.067700
      0.268725    -23.063000
      0.274697    -23.057600
      0.280669    -23.051500
      0.286640    -23.044800
      0.292612    -23.037400
      0.298584    -23.029200
      0.304555    -23.020500
      0.310527    -23.011000
      0.316499    -23.000900
      0.322470    -22.990100
      0.328442    -22.978600
      0.334414    -22.966400
      0.340385    -22.953600
      0.346357    -22.940100
      0.352329    -22.925900
      0.358300    -22.911000
      0.364272    -22.895500
      0.370244    -22.879300
      0.376215    -22.862400
      0.382187    -22.844900
      0.388159    -22.826700
      0.394130    -22.807800
      0.400102    -22.788200
      0.406074    -22.768000
      0.412045    -22.747100
      0.418017    -22.725500
      0.423989    -22.703300
      0.429960    -22.680300
      0.435932    -22.656800
      0.441904    -22.632600
      0.447875    -22.608400
      0.453847    -22.655700
      0.459819    -22.705200
      0.465790    -22.754200
      0.471762    -22.802500
      0.477734    -22.850100
      0.483705    -22.897100
      0.489677    -22.943500
      0.495649    -22.989200
      0.501620    -23.034300
      0.507592    -23.078700
      0.513564    -23.122500
      0.519535    -23.165600
      0.525507    -23.208000
      0.531479    -23.249800
      0.537450    -23.291000
      0.543422    -23.331500
      0.549394    -23.371300
      0.555365    -23.410500
      0.561337    -23.449000
      0.567309    -23.486800
      0.573280    -23.524000
      0.579252    -23.560500
      0.585224    -23.596400
      0.591195    -23.631600
      0.597167    -23.666100
      0.603139    -23.699900
      0.609110    -23.733000
      0.615082    -23.765500
      0.621054    -23.797300
      0.627025    -23.828400
      0.632997    -23.858900
